p_val	avg_log2FC	pct.1	pct.2	p_val_adj
PLBD1	2.35123876214931e-09	-0.581318328293717	0.088	0.439	4.25150992971839e-05
NPC1	2.48868344203883e-09	1.06719229250346	0.702	0.293	4.50003739989462e-05
SCIMP	2.49084850407805e-09	-0.567671537225122	0.162	0.585	4.50395226507393e-05
DCK	2.90899969606349e-09	0.855075498121128	0.969	0.854	5.26005325042199e-05
BCL6	3.13667196586088e-09	-0.75609651939466	0.618	0.976	5.67173024866964e-05
PAPLN	3.35511126444147e-09	1.11083642390981	0.596	0.098	6.06671218836306e-05
ACPP	3.60744604066425e-09	-0.867035595693763	0.351	0.78	6.5229839307291e-05
NQO2	4.96813212281104e-09	-0.322670123057051	0.057	0.366	8.98337650446692e-05
KCTD5	4.99580883993783e-09	0.903370614806638	0.921	0.732	9.03342154437559e-05
SLC11A1	5.66951596362257e-09	-0.188329688960772	0	0.146	0.000102516187654223
CDC42SE1	6.32729684373092e-09	-0.694123430845958	0.952	1	0.000114410181528342
CD4	6.71535948032685e-09	0.788349771256764	0.987	0.927	0.00012142713012327
HAVCR2	7.59579136786134e-09	-0.90482905462472	0.697	0.927	0.000137347099513669
LAIR1	7.76346123556707e-09	0.955959088730973	0.925	0.683	0.000140378906061524
ETS1	9.47492660834459e-09	0.957528613969159	0.746	0.293	0.000171325622932087
C12orf75	9.83575077460193e-09	0.773631070229215	0.996	1	0.000177850045506352
HYOU1	9.9094014344236e-09	1.00336909601533	0.895	0.683	0.000179181796737248
NOD2	1.02399808346374e-08	-0.50677972737294	0.105	0.463	0.000185159333451914
LGALS3	1.16252576644062e-08	-0.559453742706885	0.075	0.39	0.000210207909087793
CAPN2	1.38214913645234e-08	-0.751652775075578	0.899	0.976	0.000249920206853312
EMILIN2	1.4202448362892e-08	-0.81996769907218	0.592	0.927	0.000256808671297814
HMOX1	1.48100230264166e-08	-0.572641038877023	0.066	0.366	0.000267794836363665
METRNL	1.77552453977472e-08	-0.853077395996166	0.61	0.927	0.000321050347282065
AOAH	1.83594751766869e-08	-0.333018126443519	0.044	0.317	0.000331976030144852
DNM2	1.99399709987676e-08	0.636903225727963	0.996	0.976	0.000360554555599716
UBASH3B	2.05301331399372e-08	-0.657919467792953	0.263	0.683	0.000371225867436344
CRIP1	2.2731161856484e-08	-0.897310728988548	0.956	0.976	0.000411024868688943
SEPTIN1	2.48987853665593e-08	0.76890390151697	0.864	0.61	0.000450219836998126
ITM2C	2.5794485303853e-08	0.684551440746217	1	1	0.000466415883264269
MAP1A	2.77270978536477e-08	0.864008644911965	0.487	0	0.000501361383389657
IDH3A	2.9390413564442e-08	0.859369742495895	0.89	0.732	0.00053143745807224
S100A10	2.97764099662447e-08	-0.583954918612621	0.996	0.976	0.000538417045009637
DUSP5	2.9890478340429e-08	1.21007218448621	0.851	0.561	0.000540479629351638
DERL3	3.01003616605736e-08	1.13713167046292	0.539	0.073	0.000544274739546492
HK1	3.02115654172502e-08	-0.722827900110842	0.614	0.902	0.000546285525874718
ENHO	3.05047523830141e-08	-0.586785129301787	0.132	0.488	0.000551586932589661
SLC7A5	3.06331014818265e-08	0.968845421185454	0.868	0.561	0.000553907740994388
PDLIM1	3.16196503711403e-08	-0.57769615722702	0.224	0.634	0.000571746518010958
SCT	3.3012748744913e-08	0.975418141980101	0.877	0.512	0.000596936522805516
RNH1	3.32936096323253e-08	-0.706497878813138	0.969	1	0.000602015049371706
ASPH	3.97992222544891e-08	0.851215759997067	0.715	0.39	0.000719649536805673
CTSC	4.08444070441014e-08	0.96294003299872	0.982	0.976	0.000738548568171441
CD74	4.08485121676042e-08	-0.289782695651809	1	1	0.000738622797014619
GPAT3	4.20926008052646e-08	-0.558849671406986	0.075	0.366	0.000761118407760795
LGALS1	4.94323361664907e-08	-1.18351640844505	0.86	0.902	0.000893835502562484
ZNRF2	5.00401939158577e-08	0.619307019175608	0.996	0.976	0.000904826786386539
ZNF366	5.06223926276188e-08	-0.591341070219586	0.167	0.561	0.000915354103492603
LIME1	5.17560573470881e-08	0.848543396468232	0.89	0.756	0.000935853028950046
LILRA4	5.25520054309084e-08	0.636323936970864	0.996	0.927	0.000950245362201686
HCLS1	5.48538617673762e-08	-0.415513400484339	0.996	1	0.000991867528477697
SIT1	5.5259957835562e-08	0.956674697324413	0.544	0.098	0.000999210557582632
MYO1G	5.66187373500234e-08	-0.822337088425181	0.829	0.951	0.00102378000876312
CD14	6.04591380619513e-08	-0.325122747629554	0.048	0.317	0.0010932221344362
ADGRG5	6.2031785840037e-08	0.821780381011212	0.789	0.439	0.00112165875155955
TIAM1	6.23454239468324e-08	-0.602099419680373	0.171	0.537	0.00112732995580662
ULK1	6.31225173995755e-08	0.86514294713103	0.719	0.341	0.00114138135961912
TRAF4	6.54709473427439e-08	1.25112739737371	0.838	0.61	0.00118384566985149
CD5	6.66844749687415e-08	-1.05609841694988	0.202	0.585	0.00120578867638478
PRKCD	7.0841575596557e-08	0.69137645231067	0.991	1	0.00128095736993694
ADA	7.15473803811605e-08	0.680029426680695	0.864	0.634	0.00129371973205214
CD48	7.47564202985989e-08	-0.761801248983731	0.768	0.951	0.00135174559183926
CSK	7.61803956519516e-08	-0.560195953877533	0.982	1	0.00137749391417859
GCLC	7.78874973281012e-08	-0.651756527437861	0.908	0.976	0.00140836172668673
SAMHD1	7.99604223209659e-08	-0.432254468269221	1	1	0.0014458443564077
LPCAT2	8.27550051122065e-08	-0.686302066889383	0.215	0.61	0.00149637600243892
TSPAN32	8.99525361681281e-08	-0.746671474395146	0.259	0.683	0.00162652175899209
GRAMD1B	9.6314534523094e-08	0.950541469506915	0.825	0.61	0.00174155941324659
PAXX	9.76999611707081e-08	0.77834899702237	0.925	0.829	0.00176661069788874
CNN2	9.86850190995213e-08	-0.709261612151988	0.969	0.976	0.00178442251535754
PNPLA6	1.01796791969178e-07	-0.630064853906464	0.535	0.902	0.00184068959238667
FCGR3A	1.10913211238161e-07	-0.113710998894809	0	0.122	0.00200553268560843
CD22	1.10973538331122e-07	-0.888852199063189	0.719	0.902	0.00200662352010335
HS3ST3B1	1.2772566628782e-07	0.998407790194416	0.675	0.317	0.00230953549781637
RHOG	1.3067421577717e-07	-0.646396749780753	0.86	1	0.00236285116968278
TLR8	1.33566193552818e-07	-0.191733999833747	0.009	0.171	0.00241514391182206
SLC24A4	1.40115518154568e-07	-0.60525258414258	0.237	0.634	0.00253356879927089
TIMD4	1.52120575239995e-07	-0.467146273294338	0.004	0.146	0.00275064424148958
CX3CR1	1.54791729966802e-07	-0.874691338091468	0.649	0.878	0.00279894406125971
FAM20C	1.56447240523467e-07	-0.954181311440167	0.478	0.854	0.00282887900314533
ST3GAL2	1.61669577475239e-07	0.653756337962019	0.974	0.878	0.00292330929990728
SLC43A3	1.63001676633926e-07	0.928122998163373	0.68	0.268	0.00294739631689464
CREB3L2	1.67131568052276e-07	0.625600245757989	0.759	0.39	0.00302207301352125
FGD4	1.67241893352765e-07	-0.420117315105491	0.14	0.512	0.00302406791560469
TMCO4	1.7652214823122e-07	-0.438170256100712	0.118	0.439	0.00319187348431692
CSTA	1.81580347945991e-07	-0.62871593344225	0.079	0.366	0.0032833358515594
MGAT4A	1.85072625883629e-07	0.716735243496249	0.759	0.488	0.00334648322122777
MSN	1.94417546923458e-07	-0.592781265644606	0.921	0.976	0.00351545808346997
TEX2	2.17507871166626e-07	0.674098986938748	0.912	0.902	0.00393297732643492
SIGLEC10	2.2143318359775e-07	-0.571323437675659	0.14	0.488	0.00400395482581452
ST6GALNAC4	2.51273109738708e-07	0.657966136659122	0.82	0.439	0.00454352037029532
N4BP2L1	2.5369071904914e-07	0.698821153960636	0.864	0.561	0.00458723558184655
IL1B	2.58964882441041e-07	-0.980554597912221	0.25	0.659	0.0046826030042989
GAA	2.64095287291873e-07	-0.655985208381032	0.61	0.927	0.00477537098481165
MAP2K6	2.67423254620315e-07	0.750832003298438	0.719	0.39	0.00483554729004454
COL24A1	2.70266292031926e-07	0.779636885222239	0.671	0.268	0.00488695509252129
TNFRSF21	2.78357346350997e-07	0.765172042327421	0.965	0.854	0.00503325753671873
RAC2	2.93816828241264e-07	0.591681410628512	0.996	0.951	0.00531279588825853
ABCB4	2.94209335099483e-07	-0.301259588091355	0.039	0.268	0.00531989319726885
TMEM131L	2.94914214173393e-07	-0.720471427638141	0.36	0.707	0.0053326388206833
S100A11	2.98585800630414e-07	-0.514121632261507	0.794	0.951	0.00539902844699915
SLC12A3	2.98612624484334e-07	1.19765747920269	0.772	0.439	0.00539951347592573
CD68	3.10944309532261e-07	0.748980468883669	0.974	0.854	0.00562249500496235
NFKB1	3.12754082678083e-07	-0.784401714852089	0.667	1	0.0056552193229851
GSTP1	3.18564835580116e-07	-0.620601497744444	0.978	1	0.00576028935695965
ALDH2	3.19580932143208e-07	-0.68834221719533	0.904	0.976	0.00577866241501349
RNASET2	3.43384296376261e-07	0.560671460516105	0.996	0.976	0.00620907484707555
SELENOS	3.6315667900484e-07	1.01712370784242	0.719	0.39	0.00656659906976551
S100A8	3.68529396027991e-07	-0.577600518950813	0.189	0.537	0.00666374853897813
CMKLR1	3.76814483981348e-07	0.954284400231356	0.43	0	0.00681355949935073
CTSB	3.91858970643638e-07	0.617658363572293	0.987	0.951	0.00708559390717825
LIMD2	4.14924690038841e-07	-0.548382484113484	0.974	1	0.00750266824528232
OFD1	4.837601596288e-07	0.70076870087226	0.969	0.927	0.00874735120640796
IRF4	4.8770598828705e-07	0.928794197249956	0.943	0.878	0.00881869968020644
ANXA1	5.10876632048482e-07	-0.821132808093465	0.846	0.976	0.00923767126070065
ARHGDIB	5.18238618723088e-07	-0.389146571230085	1	1	0.00937079070375088
AZIN2	5.53504567256113e-07	0.713831542354176	0.654	0.268	0.010008469585125
KDM2B	5.87150494844151e-07	-0.593573473189414	0.68	0.927	0.0106168552477719
NOL4L	6.34589600794439e-07	-0.447837894577649	0.127	0.463	0.011474649161565
PARP10	6.3501820779507e-07	0.656842570071591	0.943	0.683	0.0114823992333504
PRR11	6.418752818759e-07	-0.269322864968785	0.061	0.317	0.01160638884688
FCHSD2	6.5822550806828e-07	0.803969471053213	0.873	0.61	0.0119020336368906
GABARAP	6.79575066056617e-07	-0.439221488426779	0.982	1	0.0122880763444358
RNF213	6.88901510350948e-07	0.88790634779662	0.825	0.61	0.0124567171101658
S100A9	7.763862287012e-07	-0.677466714596978	0.368	0.756	0.0140386157873751
PHEX	8.0335941205031e-07	0.7680293430278	0.412	0	0.0145263448886937
HS3ST1	8.07627249681155e-07	0.97551020498594	0.759	0.366	0.0146035159287347
KCNK17	8.89083184314087e-07	0.766834756124352	0.803	0.463	0.0160764021387673
DNASE1L1	8.99508442509389e-07	-0.715771825093218	0.579	0.878	0.0162649116574548
NR4A2	9.11214033576699e-07	-0.444527530833907	0.11	0.415	0.0164765721551339
CEBPB	9.28465790059339e-07	-0.153646644512009	0.013	0.171	0.016788518415853
NIBAN1	9.67193076155249e-07	-0.684167542864637	0.732	0.902	0.0174887852030392
CLEC4A	1.01135540565614e-06	-0.710610946435702	0.544	0.878	0.0182873284450743
SURF4	1.105336312159e-06	0.618293019001154	0.759	0.488	0.0199866911964591
PPT1	1.15894454551478e-06	-0.613394194733775	0.776	0.951	0.0209560352719982
TMEM268	1.18485445824714e-06	0.658735914236032	0.829	0.659	0.0214245383140249
CYBB	1.29069087632997e-06	0.828051961618916	0.917	0.78	0.0233382724257985
ADCY6	1.30036100809694e-06	-0.242242203934578	0.013	0.171	0.023513127748409
C15orf39	1.30743980146771e-06	0.421855973656147	0.965	0.927	0.0236411264901391
MPP3	1.44060669393743e-06	-0.38362068454477	0.096	0.39	0.0260490502397766
GLIPR2	1.46502448119172e-06	-0.665936296654945	0.689	0.951	0.0264905726689087
CDC42EP3	1.47749433990912e-06	-0.331652588648814	0.105	0.39	0.0267160526542366
ARF6	1.53303714611587e-06	-0.452293179027293	0.969	1	0.0277203776760672
LGALS9	1.67468424374281e-06	-0.684982301378853	0.772	0.951	0.0302816404953575
ATG101	1.71921054666798e-06	0.695660307632094	0.868	0.683	0.0310867651048505
IPCEF1	1.77576128314935e-06	-0.375743555238135	0.07	0.317	0.0321093155219065
RHOB	1.8101357640149e-06	-0.921562546699139	0.158	0.488	0.0327308748849175
LRP1	1.81559878194059e-06	-0.594945330591047	0.162	0.488	0.0328296571750498
MEF2D	1.87781294547503e-06	0.590541632853687	0.89	0.829	0.0339546136800795
LRP8	1.89510432016414e-06	0.720056202388871	0.724	0.439	0.0342672763172079
EFHD2	2.07699224881036e-06	-0.442037692390041	0.996	1	0.0375561738429889
ATP2A3	2.11978975266361e-06	0.79047263300521	0.89	0.732	0.0383300383076635
TLR5	2.16265670903648e-06	-0.0987536416648224	0	0.098	0.0391051586127976
VSTM1	2.16265670903648e-06	-0.132882409992094	0	0.098	0.0391051586127976
TMEM176B	2.23227063820086e-06	-0.147327993195968	0.009	0.146	0.0403639176799479
CHST11	2.28430652987919e-06	0.617008597712055	0.952	0.927	0.0413048306732755
SEC61B	2.29081633640279e-06	0.682971472292028	0.816	0.61	0.0414225409948353
SAMD15	2.31520928929898e-06	-0.149305646608	0.009	0.146	0.0418636143691042
PLXNC1	2.34123625275212e-06	-0.635865786259498	0.684	1	0.0423342339222639
P3H2	2.43496576756571e-06	0.728478198148221	0.697	0.341	0.0440290510091232
CUEDC1	2.43849549618688e-06	0.918228009283149	0.43	0.049	0.0440928755620512
UNC93B1	2.43997499570143e-06	0.555413934690061	0.987	1	0.0441196278722732
OGT	2.46628197638594e-06	0.46097475553895	0.996	1	0.0445953106970105
LAMP1	2.49254816589401e-06	0.738786323131352	0.785	0.537	0.0450702559356954
ERN1	2.5301311811375e-06	0.903346737711265	0.711	0.463	0.0457498320173283
DOCK11	2.58668873295637e-06	-0.503927265615366	0.838	0.976	0.0467725056693171
C11orf21	2.64819538542091e-06	-0.587179642173209	0.408	0.756	0.047884668959181
TPST2	2.81466846239941e-06	0.687451817484695	0.68	0.317	0.0508948351371062
ANXA5	2.81657640930918e-06	-0.581421674082859	0.961	0.976	0.0509293346331286
ITGB7	2.868312863644e-06	-0.722524019957662	0.877	0.976	0.0518648332004109
LCP1	2.92510219982707e-06	-0.384803309278717	1	1	0.0528916979772731
BEST1	3.26096255873712e-06	-0.280351514861712	0.057	0.293	0.0589647249870846
TYMP	3.39804939168768e-06	-0.624579703757135	0.899	0.951	0.0614435291004966
TTC39A	3.46834987602717e-06	0.683555586619032	0.417	0.024	0.0627147024583233
ARRB1	3.90556382757132e-06	-0.69909795201424	0.276	0.585	0.0706204051301445
XBP1	4.2142462828615e-06	0.78732020328244	0.706	0.439	0.0762020012867017
SMAD7	4.27454236193757e-06	-0.307876793505534	0.061	0.293	0.0772922749885552
SOCS6	4.37763366852936e-06	-0.42066730048924	0.171	0.488	0.0791563719943478
TACC1	4.39965986622656e-06	0.62985149988982	0.943	0.902	0.0795546497011087
GPRIN3	4.47073632471949e-06	-0.393143795924344	0.053	0.268	0.0808398542235777
DUSP1	4.50497475262315e-06	-0.676825125747696	0.991	1	0.0814589534769318
DPYSL2	5.15779557630689e-06	-0.38661901324903	1	1	0.0932632596107812
OPN3	5.31979566742732e-06	0.681330310816312	0.702	0.366	0.0961925452584207
LRP5	5.45601311136042e-06	0.558159992258972	0.645	0.268	0.0986556290796192
PIK3R6	5.46373454492841e-06	-0.403983559546936	0.026	0.195	0.0987952480413956
NMNAT3	5.47427277351205e-06	-0.352588243694876	0.083	0.341	0.0989858002906449
MAGED1	5.5814440463179e-06	0.63881311640051	0.689	0.39	0.10092367124552
GAS6	5.67147615628897e-06	0.543369119920281	0.93	0.78	0.102551631858017
COBLL1	5.70796033398889e-06	0.733360081082779	0.39	0.024	0.103211338759187
SYTL1	5.78214768488968e-06	-0.692461035044209	0.289	0.634	0.104552794438175
LILRA1	5.94758043016604e-06	-0.756853252014124	0.5	0.805	0.107544149338262
RNF11	6.26548344026183e-06	0.601834608957705	0.961	0.854	0.113292471566814
MAP3K20	6.32295061789127e-06	-0.2831762099499	0.18	0.537	0.11433159307271
CAMP	6.34276991683483e-06	-0.275394095397204	0.061	0.293	0.114689965636207
OAZ1	6.54061619835338e-06	-0.337930254536827	1	1	0.118267422098626
VEGFB	6.84437441004706e-06	0.644121722091239	0.908	0.756	0.123759978082471
TM9SF3	7.18022189761864e-06	0.540231255983558	0.886	0.707	0.12983277235274
CPPED1	7.18676866818771e-06	-0.566425332033125	0.759	0.951	0.12995115105817
IGFLR1	7.37693669803277e-06	0.528710614512119	0.943	0.902	0.133389769373829
ARID3A	7.3769524782599e-06	0.622086747750434	0.684	0.415	0.133390054711895
YPEL5	7.47236891181844e-06	0.649935627133628	0.996	0.976	0.135115374663501
R3HDM4	7.6431920325798e-06	-0.51382258479103	0.772	0.927	0.138204198333108
ITPR2	7.71603761163292e-06	0.623598195582965	0.785	0.634	0.139521392093546
PTPN6	7.86212725975537e-06	-0.516504702039764	0.969	1	0.142162985110897
EVL	8.09227484848734e-06	-0.787626591800617	0.732	0.951	0.146324513810348
KRT5	8.19675272858142e-06	1.80967453311373	0.355	0	0.148213682838209
GFRA2	8.29513105521216e-06	-0.262813359335819	0.07	0.317	0.149992559740346
VASH1	8.3572568967362e-06	-0.543523274995382	0.982	0.927	0.151115919206784
LCP2	8.75680582305651e-06	-0.508921801351405	0.921	0.951	0.158340562892508
ITGA5	8.77242599280926e-06	-0.628714355188485	0.504	0.854	0.158623006801977
TMEM63A	8.86177321153598e-06	0.593831940993386	0.912	0.634	0.160238583210994
CAMKK2	9.28381446661961e-06	-0.546175310831533	0.671	1	0.167869933185416
CST3	9.63277755345585e-06	-0.388571145959713	1	1	0.174179883721589
ARHGEF19	1.00534467505865e-05	-0.308451482847608	0.127	0.415	0.181786424144106
ALDH3B1	1.0152088967668e-05	-0.389346594076758	0.18	0.512	0.183570072713372
KLF9	1.0306958581825e-05	-0.538311530561987	0.513	0.878	0.18637042507656
SSR4	1.04862616722429e-05	0.545223725017895	0.868	0.732	0.189612583557497
SCARB2	1.06049067938974e-05	0.630365912491617	0.478	0.122	0.191757924647253
ACTN1	1.07017517475119e-05	-0.372263404898295	0.013	0.146	0.19350907509851
FXYD5	1.07616764024498e-05	-0.53079018981971	0.987	1	0.194592632709097
IL18R1	1.08571514652624e-05	0.527754231344971	0.697	0.415	0.196319012794874
KLHL33	1.10540749649541e-05	0.963567499245669	0.447	0.098	0.1998797835163
PRCP	1.16367699896095e-05	-0.489044314625031	0.596	0.854	0.210416074952118
MARCKSL1	1.18474960410483e-05	-0.907444489004622	0.518	0.829	0.214226423414235
SLC17A9	1.22177732166345e-05	-0.387729206264031	0.149	0.439	0.220921775303185
PTGDS	1.23832753253281e-05	2.2728664764915	0.553	0.171	0.223914384432583
SMC6	1.24151653926768e-05	0.634228874449881	0.781	0.512	0.224491020630382
