p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
4.06797868249507e-142	2.03009118377504	0.883	0.06	7.35571905368758e-138	1	SPI1
5.66005903022982e-142	1.86479645920289	0.829	0.041	1.02345187384616e-137	1	ITGB2
1.02285941565546e-134	2.23805967679611	0.868	0.067	1.8495343953882e-130	1	CYBB
1.5263689739071e-132	1.99876018776154	0.893	0.083	2.75998037861883e-128	1	AIF1
4.3986229477429e-132	2.09180487017515	0.868	0.074	7.95359001410872e-128	1	FCER1G
5.45165261478213e-132	2.61167912314642	0.893	0.091	9.85767825804904e-128	1	CD14
1.18210004421431e-131	2.48679499025387	0.898	0.084	2.13747329994832e-127	1	CD163
2.04807059437201e-129	2.12847282828209	0.844	0.069	3.70332124874347e-125	1	SERPINA1
2.12584891284723e-127	2.71012493010424	0.863	0.081	3.84396000421037e-123	1	C1QC
7.51948064058323e-127	2.26646387852371	0.893	0.086	1.35967248943026e-122	1	CSF1R
8.21020377230225e-125	2.50649942253506	0.883	0.096	1.48456904610769e-120	1	RGS1
3.00297734409349e-124	1.96935185500493	0.829	0.068	5.42998363358986e-120	1	FCGR3A
2.62813945155042e-123	1.73996409981358	0.82	0.064	4.75220175629347e-119	1	CD300A
5.26709890345331e-123	1.43131956103543	0.771	0.044	9.52396823722427e-119	1	TYROBP
2.05085114705019e-118	1.98405786547546	0.859	0.086	3.70834904409615e-114	1	MS4A7
3.10542268712434e-118	2.34012361635807	0.868	0.093	5.61522530285822e-114	1	MS4A6A
1.01564386164138e-113	1.81757494196735	0.824	0.085	1.83648723061995e-109	1	MAFB
4.26414019031485e-113	2.68497851065867	0.937	0.173	7.7104182921273e-109	1	IFI30
6.99275616403465e-113	2.65158339110252	0.868	0.114	1.26443016958075e-108	1	C1QA
7.67644404081013e-113	1.37583227177138	0.673	0.03	1.38805461145929e-108	1	FPR3
5.51737546086205e-109	1.61759498240836	0.746	0.059	9.97651830833076e-105	1	SLC11A1
3.95259451933905e-108	1.38219999570666	0.727	0.054	7.14708140986887e-104	1	CORO1A
4.11129677856633e-105	2.67408093944744	0.82	0.109	7.43404683500364e-101	1	C1QB
1.55707361739137e-104	1.39640146892251	0.717	0.054	2.81550051496707e-100	1	RNASET2
1.77779042034316e-104	2.50915173433788	0.995	0.338	3.21460063806451e-100	1	LAPTM5
2.52896623870028e-104	2.09735099273279	0.927	0.184	4.57287675281785e-100	1	CD68
4.02628404991788e-103	1.72174801898376	0.79	0.101	7.2803268190615e-99	1	CAPG
1.35154884809645e-102	3.26160946275527	0.995	0.342	2.443870627128e-98	1	CD74
6.47775855710712e-101	1.43087308562093	0.712	0.057	1.17130830229611e-96	1	MSR1
7.38220895067987e-101	1.38362448668698	0.702	0.053	1.33485102246193e-96	1	ALOX5
8.68693900918137e-101	1.58074668356339	0.678	0.044	1.57077231164018e-96	1	ALOX5AP
1.04696282687647e-100	1.81478303958683	0.888	0.149	1.89311818355804e-96	1	TYMP
1.13025756699644e-99	1.42599512970916	0.741	0.069	2.04373173264296e-95	1	TNFSF13
1.95615751174915e-99	1.62871252817602	0.737	0.073	3.53712401274482e-95	1	LCP1
1.61185222626054e-93	2.04074539582364	0.659	0.048	2.9145511955243e-89	1	LYZ
1.81641409458221e-92	3.64453030161657	0.815	0.143	3.28443996582354e-88	1	FCGBP
5.5221003048666e-92	1.72365599563986	0.673	0.06	9.98506177125978e-88	1	S100A9
1.02174591660394e-89	1.44840451009078	0.824	0.13	1.84752096640325e-85	1	CTSS
3.90035547410449e-88	1.77558700507537	0.6	0.04	7.05262276827574e-84	1	CLEC5A
1.46180715523327e-78	3.23358621080395	0.971	0.54	2.6432396980928e-74	1	SPP1
3.32672231884396e-74	2.35483058195417	0.917	0.272	6.01537929693364e-70	1	C3
2.70656181857392e-71	1.58940865700256	0.961	0.388	4.89400508034535e-67	1	NPC2
7.76286336838122e-71	1.77184981316267	0.995	0.809	1.40368095427069e-66	1	CTSB
3.4035393174798e-66	1.55709465124488	0.824	0.196	6.15427979386696e-62	1	GPNMB
1.67032390445206e-60	1.54034697365141	0.99	0.809	3.02027968403021e-56	1	FTL
9.78845432935259e-59	1.89622271826412	0.941	0.407	1.76994831183354e-54	1	TGFBI
7.71316862888179e-53	1.39371733252652	0.927	0.358	1.3946951514744e-48	1	STAB1
3.41388101055732e-44	1.73101624491679	0.844	0.36	6.17297964328974e-40	1	APOE
1.0016396282589e-43	1.6849285886809	0.824	0.298	1.81116477581774e-39	1	HMOX1
4.89837320872306e-32	1.6505850801546	0.371	0.065	8.85723843601304e-28	1	CXCL8
3.46558964994432e-62	2.06987936823202	0.952	0.636	6.26647920502931e-58	2	NOTCH3
1.15255860193873e-59	2.08885866534417	0.989	0.648	2.08405646402562e-55	2	COL1A2
5.59192843867364e-59	1.89306157966072	0.93	0.562	1.01113250028097e-54	2	PDGFRB
7.05154260917687e-53	2.0582834237882	0.903	0.554	1.27505993459136e-48	2	PLXDC1
1.65675171227583e-50	1.47070572477068	0.941	0.783	2.99573844613716e-46	2	CALD1
1.08428599001967e-49	1.55803272733519	0.952	0.797	1.96060592715356e-45	2	BGN
5.75061419358465e-49	2.18673716261387	0.882	0.508	1.03982605848398e-44	2	CCDC102B
7.34102875052405e-48	1.71118239298376	0.952	0.828	1.32740481866976e-43	2	COL18A1
1.07777531982809e-47	2.035256254054	0.978	0.672	1.94883333331315e-43	2	COL3A1
1.14924702456995e-47	1.66698546995991	0.973	0.7	2.07806846982738e-43	2	COL6A2
2.24692507375852e-47	1.38105564823746	1	0.975	4.06288991837016e-43	2	FN1
1.81160240404199e-46	1.59329952827179	0.957	0.715	3.27573946698873e-42	2	COL6A1
2.22280390670584e-46	2.17963902573808	0.957	0.689	4.01927402410551e-42	2	COL1A1
3.35557224322136e-45	1.79559444507889	0.914	0.657	6.06754573019286e-41	2	UACA
1.25428165591358e-43	1.85204974375483	0.866	0.542	2.26799209022293e-39	2	CD248
1.46583399298154e-39	1.80405048231745	0.79	0.451	2.65052102610922e-35	2	COL5A3
1.45823628867473e-37	1.64246226288563	0.866	0.634	2.63678285718165e-33	2	MYL9
4.04539635389739e-35	1.59412134112786	0.823	0.602	7.31488568711727e-31	2	COL5A2
2.73582311403137e-34	1.68610142047258	0.78	0.513	4.94691535479153e-30	2	GJC1
6.89726545409747e-34	1.80409260345788	0.833	0.609	1.2471635394099e-29	2	COL5A1
1.03443940597412e-33	1.43366358698051	0.887	0.77	1.87047333388241e-29	2	ITGA1
1.21427589139396e-31	1.45552007628818	0.742	0.42	2.19565366681856e-27	2	ENPEP
1.4801022457374e-31	1.62079481018995	0.72	0.426	2.67632088074236e-27	2	EDNRA
1.01137709817312e-29	1.73274227283602	0.699	0.407	1.82877206891663e-25	2	PCDH18
2.12250837639194e-28	1.59027236347103	0.753	0.514	3.8379196461919e-24	2	NR2F2
1.27766097671754e-25	1.68567591351589	0.677	0.42	2.31026657810066e-21	2	CSPG4
3.20919017400236e-25	1.40727272258902	0.737	0.516	5.80285767263107e-21	2	LRRC32
4.21662426838084e-25	1.38516874814503	0.817	0.63	7.62450000208624e-21	2	THY1
6.206366332535e-25	1.85634154419119	0.731	0.483	1.12223516024898e-20	2	COL6A3
1.04752486648257e-23	1.47251752019163	0.688	0.468	1.89413446357378e-19	2	TPM2
6.19130511406274e-23	1.74574395404057	0.656	0.434	1.11951179072482e-18	2	OLFML2B
1.59768670354223e-22	1.58227122649052	0.79	0.678	2.88893709734506e-18	2	TAGLN
3.84142127138929e-21	1.5081941728857	0.618	0.414	6.94605794292612e-17	2	EPS8
2.45723278064803e-20	1.51810844003409	0.602	0.385	4.44316831396777e-16	2	ARHGEF17
4.4226493323176e-20	1.41589712999644	0.656	0.441	7.99703452269669e-16	2	NDUFA4L2
1.492396888488e-19	1.5129510517361	0.516	0.27	2.698552053764e-15	2	ADAMTS2
3.45302238898006e-19	1.69965257032278	0.608	0.408	6.24375508375374e-15	2	FILIP1L
4.11604030277569e-19	1.48192064523235	0.672	0.46	7.442624075479e-15	2	S1PR3
3.99782260659186e-18	1.49505513580253	0.511	0.274	7.2288628372394e-14	2	ABCC9
2.79526173859519e-17	1.76780638783392	0.715	0.542	5.05439227572783e-13	2	ACTA2
1.55217108250613e-15	1.39036442640427	0.608	0.451	2.80663575138759e-11	2	ZNF703
1.73287522085495e-15	1.36066953171489	0.527	0.331	3.13338497434992e-11	2	TBX2
7.38968014917647e-15	1.38963625420374	0.473	0.265	1.33620196457409e-10	2	PRKG1
1.26638199406362e-13	1.51265187811099	0.522	0.34	2.28987192166583e-09	2	TRPC6
2.73179365507602e-13	1.35061844465045	0.468	0.291	4.93962928710846e-09	2	RNF152
1.22197336484237e-11	1.46847884155799	0.468	0.299	2.20957223830797e-07	2	HIGD1B
2.23685218589004e-08	1.53011941973685	0.355	0.209	0.000404467612252636	2	POSTN
4.02457654176767e-07	1.59258929653357	0.435	0.338	0.0072772393028243	2	GPER1
0.000325605782020679	1.75202991725421	0.274	0.189	1	2	ATP1A2
0.00731460238993822	1.46685664954953	0.398	0.369	1	2	SLC6A1
4.39365082711502e-70	2.36144597492444	0.902	0.232	7.94459942558939e-66	3	CNDP1
6.87841177125112e-68	2.03035425258479	0.826	0.181	1.24375441647763e-63	3	MYRF
1.86100000889997e-66	2.55309648667749	0.939	0.298	3.36506021609293e-62	3	TF
2.23947251198659e-65	2.85898002672677	0.97	0.393	4.04941419617415e-61	3	MBP
2.63850777272223e-65	2.02009659797714	0.833	0.207	4.77094975463634e-61	3	MOG
3.83263893978179e-64	2.93502253234637	0.932	0.311	6.93017773091344e-60	3	PLP1
1.44842381098416e-63	1.8592194835442	0.818	0.186	2.61903993502155e-59	3	CARNS1
1.06256235730371e-62	1.64520759079884	0.75	0.149	1.92132525447657e-58	3	UGT8
5.64253824757546e-60	1.74505273049995	0.727	0.145	1.02028376592659e-55	3	ERMN
1.41189529149818e-58	1.88649581946145	0.871	0.251	2.55298906608702e-54	3	TMEM144
1.9813749719392e-56	1.55031057524951	0.742	0.162	3.58272222426046e-52	3	FGFR2
1.02869560360536e-55	1.93966844152558	0.939	0.388	1.86008739043922e-51	3	ABCA2
6.19093646650358e-55	2.39425628130815	0.947	0.408	1.11944513187318e-50	3	QDPR
2.88754729807849e-54	1.91493356472359	0.848	0.258	5.22126302438553e-50	3	HCN2
5.51875958128483e-54	1.68994315502057	0.712	0.156	9.97902107487922e-50	3	NKX6-2
1.01893919946177e-51	1.9697820019735	0.871	0.309	1.84244586046676e-47	3	SLAIN1
1.32567145311343e-51	1.33704347292638	0.614	0.109	2.3970791215197e-47	3	OLIG1
4.72224872626004e-51	1.70142571426937	0.636	0.114	8.53877014682341e-47	3	MOBP
1.96632685159127e-50	1.6122476675471	0.848	0.26	3.55551221304733e-46	3	ENPP2
5.14488641343749e-50	1.83077988990635	0.886	0.31	9.30298361277767e-46	3	S100B
4.16337406026579e-49	1.59957483883473	0.75	0.193	7.5282129757726e-45	3	PCSK6
4.30405640035516e-49	1.55727434552395	0.955	0.33	7.78259478312221e-45	3	PTGDS
6.40671440535064e-48	1.7648429383139	0.742	0.206	1.1584620987755e-43	3	CDK18
9.32154868895132e-48	1.36547822464599	0.659	0.14	1.68552243393618e-43	3	KLK6
4.13898420121707e-47	1.30747468377977	0.689	0.17	7.4841112326407e-43	3	MAP7
6.29472825018747e-47	1.60989424618533	0.879	0.298	1.1382127621989e-42	3	CLDN11
1.59872504397738e-46	1.38352579164455	0.841	0.274	2.89081462451991e-42	3	ATP1B1
5.97260949174388e-46	1.31581289157813	0.682	0.164	1.07996724829713e-41	3	SLC24A2
2.15597708221917e-45	1.30024008049514	0.636	0.142	3.89843776006871e-41	3	MAL
3.42194404203486e-45	1.30788976816826	0.788	0.238	6.18755921680743e-41	3	DNM3
5.46491316280717e-45	1.6659448816689	0.75	0.227	9.88165598098793e-41	3	CAPN3
2.42765548342826e-44	1.26356354529494	0.636	0.142	4.38968664513499e-40	3	CNTN2
8.44820246491382e-44	1.38682040638647	0.644	0.152	1.52760396970572e-39	3	PLEKHB1
7.27840887643434e-43	1.81770671870919	0.947	0.552	1.31608189303686e-38	3	CLDND1
3.83922563354955e-42	1.88404953264777	0.955	0.535	6.9420877905843e-38	3	SELENOP
5.67270812242417e-42	1.4304543499044	0.621	0.146	1.02573908269674e-37	3	AMER2
4.9693875655838e-40	1.53455712562983	0.864	0.342	8.98564659608863e-36	3	CERCAM
4.59041263064407e-39	1.37320735074402	0.788	0.264	8.3003841187306e-35	3	AIF1L
3.20926316356345e-38	1.25118054804443	0.765	0.249	5.80298965235542e-34	3	PIP4K2A
3.59031340477051e-38	1.3110866923538	0.773	0.268	6.49200469850603e-34	3	KCNMB4
1.13247737798789e-37	1.4495549368504	0.78	0.268	2.0477455948777e-33	3	ANLN
3.22027069796785e-37	1.30780549130823	0.742	0.267	5.82289347606546e-33	3	APLP1
3.75185138625807e-37	1.31047099818142	0.856	0.362	6.78409767663184e-33	3	FEZ1
6.90060015905696e-37	1.6169043694766	0.833	0.364	1.24776652076068e-32	3	CNP
3.42548209223013e-36	1.28801844672044	0.841	0.326	6.19395671917052e-32	3	DOCK5
2.15202545076962e-34	1.54423546515616	0.894	0.494	3.89129242008162e-30	3	SLC44A1
2.24408482812373e-34	1.30002827670555	0.78	0.311	4.05775418621334e-30	3	FAM102A
6.96780871960681e-33	1.57457093374469	0.841	0.43	1.2599191726793e-28	3	DBNDD2
2.27248299128639e-32	1.30448128644808	0.636	0.202	4.10910374484406e-28	3	GNG7
1.54087400989265e-31	1.61802774881814	0.909	0.53	2.78620838468788e-27	3	CRYAB
2.60657940688012e-58	2.79229646725948	0.869	0.217	4.71321688352063e-54	4	PLVAP
7.82906188913121e-53	2.23103263058541	0.788	0.181	1.4156509707927e-48	4	DLL4
8.78036054029029e-52	2.41481562626698	0.97	0.402	1.58766479289529e-47	4	ADGRL4
1.04988902059376e-50	2.85529949672161	0.98	0.513	1.89840932703763e-46	4	FLT1
1.32347285831135e-50	2.57778561984289	0.97	0.481	2.39310362239859e-46	4	PECAM1
4.19510583612955e-50	2.43539821797991	0.909	0.335	7.58559037288945e-46	4	PLXNA2
1.41471093177075e-49	2.82043906591937	0.949	0.514	2.55808030682788e-45	4	HSPG2
1.81421333427764e-48	2.4262662883533	0.939	0.421	3.28046055104082e-44	4	INSR
3.0193973504256e-48	2.56154348121433	0.97	0.444	5.45967428903957e-44	4	VWF
3.22517098934749e-48	2.70698648075164	0.848	0.282	5.83175418293814e-44	4	ACE
1.38088282197176e-47	2.37454239202694	0.899	0.362	2.49691231868934e-43	4	CLEC14A
1.98654348451796e-47	2.29115407961189	0.879	0.31	3.59206792870538e-43	4	KDR
2.53756279908017e-47	2.08410944566066	0.98	0.758	4.58842105329676e-43	4	PLXND1
5.57926796143517e-47	2.44110701993452	0.869	0.296	1.00884323278671e-42	4	SEMA3F
5.37103078153447e-45	2.19732111062758	0.848	0.291	9.71189785917063e-41	4	HECW2
3.22650634679322e-44	2.13253082619014	0.808	0.261	5.83416877627149e-40	4	PCDH12
4.30380273428334e-43	2.2019504846671	0.869	0.371	7.78213610413113e-39	4	CALCRL
5.22801985748916e-43	2.18948011958907	1	0.845	9.4533055063119e-39	4	A2M
1.28463060209877e-42	2.18348333100189	0.98	0.748	2.32286905471499e-38	4	ENG
4.47437464670545e-42	2.10297667217466	0.949	0.49	8.09056423617279e-38	4	CD93
2.39372340746026e-41	2.27334269428334	0.818	0.307	4.32833066536964e-37	4	AFAP1L1
4.6986088595858e-41	2.16428288844211	0.889	0.38	8.49602453990305e-37	4	CDH5
7.14416927313142e-41	2.01211329373787	0.869	0.32	1.29180868796762e-36	4	TM4SF18
3.80175569208405e-40	2.04188890128074	0.667	0.166	6.87433464242637e-36	4	DYSF
1.07247460944226e-39	1.91708278409707	0.98	0.667	1.93924858879349e-35	4	HTRA1
1.05028843763721e-36	2.0129438133097	0.939	0.609	1.89913155293561e-32	4	IVNS1ABP
4.69607572579113e-36	1.89887470872183	0.737	0.255	8.49144412737551e-32	4	ACVRL1
4.84075560146979e-36	2.20953965382906	0.838	0.361	8.75305427857767e-32	4	PDGFB
4.87985368373377e-36	1.90789913278211	0.899	0.483	8.8237514309274e-32	4	PODXL
1.46236320227942e-35	1.95241229113361	0.859	0.34	2.64424514236164e-31	4	EGFL7
1.54912149248831e-35	1.89778817790726	0.838	0.38	2.80112148271737e-31	4	RGS3
1.80795716245884e-35	2.22855173012777	0.929	0.578	3.26914814115808e-31	4	APCDD1
2.33955898665574e-35	1.861895244034	0.737	0.248	4.23039055967092e-31	4	CYYR1
3.16199759054126e-35	2.05674785892662	0.879	0.418	5.71752404321671e-31	4	RGCC
1.82945893530702e-34	1.81329715883791	0.909	0.592	3.30802764682215e-30	4	ADGRF5
2.76894511106518e-34	2.14624350644125	0.747	0.276	5.00680654982806e-30	4	SEMA6B
8.78731990012922e-34	2.14264630111057	0.879	0.469	1.58892318434137e-29	4	SLC7A11
1.66660985266452e-33	2.25975552133443	0.747	0.258	3.01356393558799e-29	4	STC1
2.67712994979144e-33	2.44408522766069	0.566	0.131	4.84078637521288e-29	4	ESM1
1.78183010168522e-32	1.95540741575784	0.667	0.202	3.22190518986721e-28	4	CD34
2.52432327407803e-31	1.85262301061335	0.879	0.489	4.56448134418789e-27	4	VWA1
5.29358329334169e-31	1.90556247212534	0.677	0.227	9.57185731102044e-27	4	MYCT1
9.19936501791677e-31	2.03500388226913	0.788	0.373	1.66342918253971e-26	4	ANGPTL2
3.95404497281141e-30	2.14339054816721	0.535	0.13	7.14970411983759e-26	4	EDN1
4.08803245882192e-30	1.77161579332957	0.737	0.288	7.3919802920418e-26	4	ROBO4
2.63858603237783e-28	2.06348882555843	0.677	0.258	4.7710912637456e-24	4	PCDH17
8.19740084237978e-25	1.74441515883108	0.727	0.35	1.48225402031911e-20	4	SLC9A3R2
6.62711178701021e-24	2.45585485479953	0.545	0.172	1.19831435332719e-19	4	APLN
4.55154384968947e-21	1.98105673871787	0.545	0.195	8.23010158900849e-17	4	KCNE3
7.29700608619229e-14	2.03829343292048	0.646	0.405	1.31944464050529e-09	4	ADAMTS1
5.55077265426982e-49	2.98054275508519	1	0.431	1.00369071134507e-44	5	CLDN5
2.03543621108076e-41	2.67260434287447	1	0.469	3.68047575687623e-37	5	ITM2A
2.78761572106635e-37	3.04763740410539	0.893	0.33	5.04056674683217e-33	5	SLC38A5
2.95836560621301e-36	2.53924646515559	0.773	0.224	5.34931668915436e-32	5	ELOVL7
1.94311821443494e-33	2.2378346804714	0.8	0.285	3.51354635534126e-29	5	ABCB1
2.82457085724593e-30	2.21012767821546	0.867	0.373	5.1073890240721e-26	5	ABCG2
1.22142989374307e-29	2.48323715665631	0.853	0.417	2.20858953386621e-25	5	SLC39A10
6.27890093280539e-28	2.27221542791124	0.933	0.565	1.13535086666987e-23	5	HYAL2
3.20981315072035e-27	2.57896818743609	0.867	0.53	5.80398413913254e-23	5	SLC7A5
2.20037774188695e-26	2.22252133544351	0.867	0.505	3.97872303287999e-22	5	TFRC
6.59948819985164e-26	2.34577437669516	0.84	0.509	1.19331945629717e-21	5	IFI27
2.42473236141679e-25	2.32693680245993	0.893	0.555	4.38440105591384e-21	5	SLC2A1
9.07449940359241e-25	1.89617060983157	0.8	0.382	1.64085098215758e-20	5	ECSCR
2.90551099496311e-24	1.68104713218367	0.92	0.524	5.2537449810923e-20	5	NPDC1
2.89756940606975e-22	2.05162020118941	0.787	0.412	5.23938500005532e-18	5	TCN2
9.72816777440023e-22	2.09631948391554	0.733	0.347	1.75904729696705e-17	5	MFSD2A
1.14109894049305e-21	1.75670531798659	0.88	0.495	2.06333510419953e-17	5	PODXL
2.00628329247211e-20	1.79541620303926	0.76	0.379	3.62776144944806e-16	5	RAMP2
8.96253556757986e-20	2.1017325909394	0.547	0.174	1.62060568132979e-15	5	LSR
9.92955597497467e-20	1.96886157939361	0.693	0.326	1.79546231139492e-15	5	TGM2
2.02575260666948e-19	1.73427190557344	0.613	0.234	3.66296586337976e-15	5	TEK
4.04769622699582e-19	2.08548786938098	0.72	0.347	7.31904431765384e-15	5	SLCO2B1
1.3432950412366e-18	1.95876881035429	0.707	0.335	2.42894609356402e-14	5	PTPRB
1.72167067662563e-18	1.74878290149707	0.627	0.244	3.11312491747446e-14	5	TNXB
4.23830029627777e-18	2.05002506951707	0.56	0.209	7.66369459572947e-14	5	ATP10A
6.50657569890516e-17	2.23467439889482	0.627	0.305	1.17651901787603e-12	5	CADPS2
7.40523710313652e-17	1.8668400559323	0.813	0.582	1.33901497298915e-12	5	CPD
1.73869578476837e-16	2.00680582538789	0.747	0.46	3.14390971801818e-12	5	SLC7A1
4.93424056700162e-16	1.65250429971427	0.587	0.243	8.92209379325233e-12	5	ICAM2
7.18232820989003e-16	1.96988399396003	0.773	0.497	1.29870858691232e-11	5	IFI6
2.53196605202591e-15	2.35518444961531	0.44	0.138	4.57830101527324e-11	5	DPEP1
3.80966343087192e-15	1.7100167948421	0.667	0.388	6.88863341570261e-11	5	BST2
8.32027986864989e-14	1.62077713079694	0.76	0.52	1.50447300584927e-09	5	DOCK9
1.86006544083313e-13	1.79884344707908	0.547	0.252	3.36337033011446e-09	5	LIMS2
3.06241764651473e-13	1.60056939667818	0.667	0.368	5.53746358842793e-09	5	EGFL7
6.79618391455394e-13	1.63318009963439	0.627	0.354	1.22888597542964e-08	5	CFI
1.2329029096335e-12	1.83927122282391	0.467	0.194	2.2293350411993e-08	5	ACSL5
8.06438904118895e-12	2.01382645538781	0.387	0.135	1.45820282642779e-07	5	ADGRG6
8.30465088801393e-12	2.07732976467601	0.453	0.188	1.50164697357068e-07	5	MATN3
1.45242811918255e-11	1.64213886232658	0.573	0.311	2.62628052510588e-07	5	DIPK2B
7.41115796885826e-11	2.15177274209642	0.427	0.168	1.34008558392895e-06	5	CAVIN2
1.81112025240544e-10	1.79725129777138	0.733	0.603	3.27486764039952e-06	5	GPCPD1
4.87558143250517e-10	1.61015561461444	0.613	0.398	8.81602634625584e-06	5	ITGA6
7.4351116942411e-10	1.742751006273	0.547	0.327	1.34441689655268e-05	5	PRCP
3.66769083779908e-09	1.60970691791447	0.373	0.15	6.63191857290829e-05	5	GIMAP7
4.94281959378867e-09	1.62386172174651	0.547	0.353	8.93760638948868e-05	5	JAM2
8.69839191425483e-09	1.61926345142321	0.653	0.483	0.000157284322593556	5	TM4SF1
6.54733650216668e-08	1.59886225764173	0.547	0.364	0.00118388938632178	5	MCF2L
1.24203673025634e-07	1.64698125455093	0.427	0.22	0.00224585081564951	5	SPOCK2
1.19039337641522e-06	1.66112106343988	0.44	0.267	0.02152469303234	5	DUSP23
5.48586267977687e-44	2.00864879970454	0.615	0.066	9.91953689757254e-40	6	CKAP2L
6.4086214807257e-41	2.65226399724356	0.769	0.131	1.15880693614482e-36	6	TOP2A
2.74938491025167e-38	2.54010899862642	0.731	0.128	4.97143779471707e-34	6	MKI67
1.07287034771445e-30	1.85155457182481	0.519	0.07	1.93996416273727e-26	6	NCAPG
2.49596898881476e-29	2.20495663011884	0.5	0.067	4.51321112557485e-25	6	HMMR
4.11636588610445e-29	2.17196260425032	0.692	0.152	7.44321279525406e-25	6	TPX2
